Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Aaron Connolly,Out,No,23,Ireland,Centre-Forward,"4,000,000",Brighton,"Premier League, England",Top,England,First Tier,Hull City,"Championship, England",Europe,England,Second Tier,,1350000,1
Aarón Escandell,In,No,27,Spain,Goalkeeper,"1,000,000",FC Cartagena,"LaLiga2, Spain",Europe,Spain,Second Tier,UD Las Palmas,"LaLiga, Spain",Top,Spain,First Tier,,400000,2
Aarón Martín,Inside,No,26,Spain,Left-Back,"7,000,000",1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,Genoa,"Serie A, Italy",Top,Italy,First Tier,,0,3
Aaron Ramsey,In,No,20,England,Attacking Midfield,"15,000,000",Aston Villa U21,"Premier League 2, England",Europe,England,Second Tier,Burnley,"Premier League, England",Top,England,First Tier,,16450000,4
Aaron Ramsey,Out,No,32,England,Central Midfield,"2,500,000",OGC Nice,"Ligue 1, France",Top,France,First Tier,Cardiff,"Championship, England",Europe,England,Second Tier,,0,5
Abakar Sylla,In,No,20,Cote d'Ivoire,Centre-Back,"8,000,000",Club Brugge,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,R. Strasbourg,"Ligue 1, France",Top,France,First Tier,,20000000,6
Abdallah Sima,In,End,22,Senegal,Right Winger,"6,000,000",Angers SCO,"Ligue 2, France",Europe,France,Second Tier,Brighton,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,7
Abdallah Sima,In,End,22,Senegal,Right Winger,"6,000,000",Rangers,Scottish Premiership,Europe,Scotland,First Tier,Brighton,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,8
Abdallah Sima,Out,Start,22,Senegal,Right Winger,"6,000,000",Brighton,"Premier League, England",Top,England,First Tier,Rangers,Scottish Premiership,Europe,Scotland,First Tier,,0,9
Abdallahi Mahmoud,In,End,23,Mauritania,Central Midfield,"500,000",NK Istra,"SuperSport HNL, Croatia",Europe,Croatia,First Tier,Alavés,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,10
Abdallahi Mahmoud,Out,Start,23,Mauritania,Central Midfield,"500,000",Alavés,"LaLiga, Spain",Top,Spain,First Tier,AC Bellinzona,"Challenge League, Swiss",Europe,Switzerland,Second Tier,,0,11
Abde Ezzalzouli,Inside,End,21,Morocco,Left Winger,"15,000,000",CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,12
Abde Ezzalzouli,Inside,No,21,Morocco,Left Winger,"15,000,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,,7500000,13
Abdelhamid Sabiri,Out,Start,26,Morocco,Attacking Midfield,"2,500,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Al-Fayha,Saudi Pro League,Asia,Saudi Arabia,First Tier,,300000,14
Abdelwahed Wahib,Out,No,23,Morocco,Left-Back,"400,000",Le Havre AC,"Ligue 1, France",Top,France,First Tier,Concarneau,"Ligue 2, France",Europe,France,Second Tier,,?,15
Abdou Diallo,Inside,End,27,Senegal,Centre-Back,"10,000,000",RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,16
Abdou Diallo,Out,No,27,Senegal,Centre-Back,"10,000,000",Paris SG,"Ligue 1, France",Top,France,First Tier,Al-Arabi SC,Qatar Stars League,Asia,Qatar,First Tier,,15000000,17
Abdou Harroui,Inside,No,25,Morocco,Central Midfield,"2,700,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,2500000,18
Abdoul Kader Bamba,In,End,29,France,Right Winger,"900,000",Saint-Étienne,"Ligue 2, France",Europe,France,Second Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,19
Abdoulaye Coulibaly,In,No,21,France,Left Winger,"150,000",Saint-Étienne B,"Championnat National 3 - Groupe K, France",Europe,France,Fifth Tier,Clermont Foot,"Ligue 1, France",Top,France,First Tier,,0,21
Abdoulaye Coulibaly,Out,Start,21,France,Left Winger,"150,000",Clermont Foot,"Ligue 1, France",Top,France,First Tier,FC Biel-Bienne,"Promotion League, Swiss",Europe,Switzerland,Third Tier,,0,20
Abdoulaye Ndiaye,In,End,21,Senegal,Centre-Back,"1,500,000",SC Bastia,"Ligue 2, France",Europe,France,Second Tier,Olympique Lyon,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,22
Abdoulaye Ndiaye,Out,No,21,Senegal,Centre-Back,"1,500,000",Olympique Lyon,"Ligue 1, France",Top,France,First Tier,Troyes,"Ligue 2, France",Europe,France,Second Tier,,3500000,23
Abdoulaye Touré,Inside,No,29,Guinea,Defensive Midfield,"1,300,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Le Havre AC,"Ligue 1, France",Top,France,First Tier,,0,24
Abdukodir Khusanov,In,No,19,Uzbekistan,Centre-Back,"400,000",Energetik-BGU,"Vysheyshaya Liga, Belarus",Europe,Belarus,First Tier,Lens,"Ligue 1, France",Top,France,First Tier,,100000,25
Abdul Rahman Baba,Out,No,29,Ghana,Left-Back,"1,200,000",Chelsea,"Premier League, England",Top,England,First Tier,PAOK Salonika,"Super League 1, Greece",Europe,Greece,First Tier,,0,26
Achraf Laâziri,In,No,19,Morocco,Left-Back,"250,000",Olymp. Lyon B,"Championnat National 3 - Groupe K, France",Europe,France,Fifth Tier,Olympique Lyon,"Ligue 1, France",Top,France,First Tier,,0,27
Adam Buksa,Out,Start,27,Poland,Centre-Forward,"5,000,000",Lens,"Ligue 1, France",Top,France,First Tier,Antalyaspor,"Süper Lig, Turkey",Asia,Turkey,First Tier,,0,28
Adama Bojang,In,No,19,The Gambia,Centre-Forward,"150,000",Steve Biko FC,No league,-,-,No tier,Stade Reims,"Ligue 1, France",Top,France,First Tier,,?,29
Adama Diakité,In,End,23,France,Left Winger,"150,000",FC Biel-Bienne,"Promotion League, Swiss",Europe,Switzerland,Third Tier,Clermont Foot,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,30
Adama Diakité,Out,Start,24,France,Left Winger,"150,000",Clermont Foot,"Ligue 1, France",Top,France,First Tier,Trélissac FC,"Championnat National 2 - Groupe B, France",Europe,France,Fourth Tier,,0,31
Adama Sane,Out,No,23,Senegal,Centre-Forward,"100,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Gzira Utd.,"Premier League, Malta",Europe,Malta,First Tier,,0,32
Adama Traoré,Inside,No,27,Spain,Right Winger,"10,000,000",Wolves,"Premier League, England",Top,England,First Tier,Fulham,"Premier League, England",Top,England,First Tier,,0,33
Adil Aouchiche,Out,No,21,France,Attacking Midfield,"2,200,000",FC Lorient,"Ligue 1, France",Top,France,First Tier,Sunderland,"Championship, England",Europe,England,Second Tier,,?,34
Admiral Muskwe,In,End,25,Zimbabwe,Centre-Forward,"300,000",Exeter City,"League One, England",Europe,England,Third Tier,Luton,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,35
Admiral Muskwe,Out,Start,25,Zimbabwe,Centre-Forward,"300,000",Luton,"Premier League, England",Top,England,First Tier,Exeter City,"League One, England",Europe,England,Third Tier,,0,36
Adnan Januzaj,In,End,28,Belgium,Right Winger,"6,000,000",Basaksehir,"Süper Lig, Turkey",Asia,Turkey,First Tier,Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,37
Adnan Kanuric,Out,No,22,Bosnia-Herzegovina,Goalkeeper,"150,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Without Club,No league,-,-,No tier,,0,38
Ado Onaiwu,Out,No,27,Japan,Centre-Forward,"1,500,000",Toulouse,"Ligue 1, France",Top,France,First Tier,AJ Auxerre,"Ligue 2, France",Europe,France,Second Tier,,700000,39
Adolfo Gaich,Out,End,24,Argentina,Centre-Forward,"1,800,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,CSKA Moscow,"Premier Liga, Russia",Europe,Russia,First Tier,"Jun 30, 2023",0,40
Adrià Pedrosa,In,No,25,Spain,Left-Back,"5,000,000",Espanyol,"LaLiga2, Spain",Europe,Spain,Second Tier,Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,,0,41
Adrián Butzke,In,End,24,Spain,Centre-Forward,"400,000",Paços Ferreira,Liga Portugal 2,Europe,Portugal,Second Tier,Granada CF,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,42
Adrián Butzke,Out,No,24,Spain,Centre-Forward,"400,000",Granada CF,"LaLiga, Spain",Top,Spain,First Tier,Vit. Guimarães,Liga Portugal,Europe,Portugal,First Tier,,300000,43
Adrian Grbic,In,End,26,Austria,Centre-Forward,"1,500,000",Valenciennes FC,"Ligue 2, France",Europe,France,Second Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,44
Adrian Mazilu,In,No,18,Romania,Right Winger,"2,000,000",FCV Farul,"SuperLiga, Romania",Europe,Romania,First Tier,Brighton,"Premier League, England",Top,England,First Tier,,3000000,45
Adrian Semper,Out,No,25,Croatia,Goalkeeper,"1,200,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Como,"Serie B, Italy",Europe,Italy,Second Tier,,?,46
Adrien Lebeau,In,No,24,France,Left Winger,"250,000",Waldh. Mannheim,"3. Liga, Germany",Europe,Germany,Third Tier,Stade Brestois,"Ligue 1, France",Top,France,First Tier,,0,47
Adrien Louveau,Out,No,23,France,Centre-Back,"250,000",Lens,"Ligue 1, France",Top,France,First Tier,LKS Lodz,"PKO BP Ekstraklasa, Poland",Europe,Poland,First Tier,,0,48
Adrien Tamèze,Inside,No,29,Cameroon,Defensive Midfield,"6,000,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Torino,"Serie A, Italy",Top,Italy,First Tier,,2800000,49
Adson,In,No,22,Brazil,Attacking Midfield,"6,000,000",Corinthians,Campeonato Brasileiro Série A,Latin America,Brazil,First Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,,5000000,50
Adu Ares,In,No,21,Spain,Left Winger,"500,000",Bilbao Athletic,"Segunda Federación - Grupo IV, Spain",Europe,Spain,Fourth Tier,Athletic,"LaLiga, Spain",Top,Spain,First Tier,,0,51
Agustín Martegani,In,Start,23,Argentina,Attacking Midfield,"2,000,000",San Lorenzo,"Copa de la Liga Profesional de Fútbol, Argentina",Latin America,Argentina,League Cup,Salernitana,"Serie A, Italy",Top,Italy,First Tier,,400000,52
Ahmed Touba,In,Start,25,Algeria,Centre-Back,"2,800,000",Basaksehir,"Süper Lig, Turkey",Asia,Turkey,First Tier,Lecce,"Serie A, Italy",Top,Italy,First Tier,,0,53
Ainsley Maitland-Niles,Inside,No,25,England,Central Midfield,"8,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Olympique Lyon,"Ligue 1, France",Top,France,First Tier,,0,54
Aiyegun Tosin,In,No,25,Benin,Centre-Forward,"3,200,000",FC Zürich,"Super League, Swiss",Europe,Switzerland,First Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,,4000000,55
Akim Zedadka,In,End,28,Algeria,Right-Back,"2,500,000",AJ Auxerre,"Ligue 2, France",Europe,France,Second Tier,LOSC Lille,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,56
Akor Adams,In,No,23,Nigeria,Centre-Forward,"4,000,000",Lillestrøm,"Eliteserien, Norway",Europe,Norway,First Tier,Montpellier,"Ligue 1, France",Top,France,First Tier,,4500000,57
Alaa Bellaarouch,In,End,21,Morocco,Goalkeeper,"200,000",Stade Briochin,"Championnat National 2 - Groupe C, France",Europe,France,Fourth Tier,R. Strasbourg,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,58
Alan Do Marcolino,In,No,21,Gabon,Centre-Forward,"150,000",Rennes B,"Championnat National 3 - Groupe E, France",Europe,France,Fifth Tier,Stade Rennais,"Ligue 1, France",Top,France,First Tier,,0,60
Alan Do Marcolino,Out,Start,21,Gabon,Centre-Forward,"150,000",Stade Rennais,"Ligue 1, France",Top,France,First Tier,QRM,"Ligue 2, France",Europe,France,Second Tier,,0,59
Alan Godoy,In,No,20,Spain,Centre-Forward,"150,000",Depor. Alavés B,"Segunda Federación - Grupo II, Spain",Europe,Spain,Fourth Tier,Alavés,"LaLiga, Spain",Top,Spain,First Tier,,0,62
Alan Godoy,Out,Start,20,Spain,Centre-Forward,"150,000",Alavés,"LaLiga, Spain",Top,Spain,First Tier,CD Mirandés,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,61
Alassane Sidibe,Out,No,21,Cote d'Ivoire,Central Midfield,"750,000",Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Atalanta U23,"Serie C - Girone A, Italy",Europe,Italy,Third Tier,,0,63
Albert Sambi Lokonga,Inside,End,24,Belgium,Central Midfield,"15,000,000",Luton,"Premier League, England",Top,England,First Tier,Arsenal,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,64
Albert Sambi Lokonga,Inside,Start,23,Belgium,Central Midfield,"15,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Luton,"Premier League, England",Top,England,First Tier,,0,65
Alberth Elis,Out,End,27,Honduras,Right Winger,"2,500,000",Stade Brestois,"Ligue 1, France",Top,France,First Tier,G. Bordeaux,"Ligue 2, France",Europe,France,Second Tier,"Jun 30, 2023",0,66
Alberto Cerri,Out,No,27,Italy,Centre-Forward,"2,000,000",Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,Como,"Serie B, Italy",Europe,Italy,Second Tier,,2000000,67
Alberto Grassi,In,No,28,Italy,Defensive Midfield,"2,000,000",Parma,"Serie B, Italy",Europe,Italy,Second Tier,FC Empoli,"Serie A, Italy",Top,Italy,First Tier,,0,69
Alberto Grassi,Out,End,28,Italy,Defensive Midfield,"2,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Parma,"Serie B, Italy",Europe,Italy,Second Tier,"Jun 30, 2023",0,68
Alberto Marí,In,No,22,Spain,Centre-Forward,"800,000",Valencia B,"Segunda Federación - Grupo III, Spain",Europe,Spain,Fourth Tier,Valencia,"LaLiga, Spain",Top,Spain,First Tier,,0,70
Alberto Soro,Out,Start,24,Spain,Right Winger,"1,500,000",Granada CF,"LaLiga, Spain",Top,Spain,First Tier,Vizela,Liga Portugal,Europe,Portugal,First Tier,,0,71
Alejandro Catena,Inside,No,28,Spain,Centre-Back,"8,000,000",Rayo Vallecano,"LaLiga, Spain",Top,Spain,First Tier,CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,,0,72
Alejandro Grimaldo,In,No,27,Spain,Left-Back,"25,000,000",Benfica,Liga Portugal,Europe,Portugal,First Tier,B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,,0,73
Alejo Véliz,In,No,19,Argentina,Centre-Forward,"11,000,000",Rosario Central,"Copa de la Liga Profesional de Fútbol, Argentina",Latin America,Argentina,League Cup,Tottenham,"Premier League, England",Top,England,First Tier,,15000000,74
Aleksa Terzic,Out,No,23,Serbia,Left-Back,"4,000,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,RB Salzburg,"Bundesliga, Austria",Europe,Austria,First Tier,,5500000,75
Aleksandar Mitrovic,Out,No,28,Serbia,Centre-Forward,"28,000,000",Fulham,"Premier League, England",Top,England,First Tier,Al-Hilal,Saudi Pro League,Asia,Saudi Arabia,First Tier,,52600000,76
Aleksander Buksa,Out,Start,20,Poland,Centre-Forward,"700,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,WSG Tirol,"Bundesliga, Austria",Europe,Austria,First Tier,,0,77
Aleksandr Kokorin,Out,Start,32,Russia,Second Striker,"1,000,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Aris Limassol,"Protathlima Cyta, Cyprus",Europe,Cyprus,First Tier,,250000,78
Aleksey Miranchuk,Inside,End,27,Russia,Attacking Midfield,"9,000,000",Torino,"Serie A, Italy",Top,Italy,First Tier,Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,79
Alessandro Barbetta,Out,No,20,Italy,Centre-Back,"25,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,Budoni,"Serie D - Girone G, Italy",Europe,Italy,Fourth Tier,,0,80
Alessandro Bianco,Out,Start,20,Italy,Central Midfield,"1,200,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Reggiana,"Serie B, Italy",Europe,Italy,Second Tier,,0,81
Alessandro Cortinovis,Inside,End,22,Italy,Attacking Midfield,"700,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,82
Alessandro Cortinovis,Out,No,22,Italy,Attacking Midfield,"700,000",Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Atalanta U23,"Serie C - Girone A, Italy",Europe,Italy,Third Tier,,0,83
Alessandro Di Pardo,In,No,23,Italy,Right-Back,"900,000",Juve Next Gen,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,,1100000,85
Alessandro Di Pardo,Out,End,23,Italy,Right-Back,"900,000",Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,Juve Next Gen,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,"Jun 30, 2023",0,84
Alessandro Fontanarosa,Out,Start,20,Italy,Centre-Back,"750,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Cosenza,"Serie B, Italy",Europe,Italy,Second Tier,,0,86
Alessandro Mallamo,Out,No,24,Italy,Central Midfield,"350,000",Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Atalanta U23,"Serie C - Girone A, Italy",Europe,Italy,Third Tier,,0,87
Alessandro Marcandalli,Out,Start,21,Italy,Centre-Back,"400,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Reggiana,"Serie B, Italy",Europe,Italy,Second Tier,,0,88
Alessandro Mercati,Out,Start,21,Italy,Central Midfield,"200,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,AS Gubbio,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,89
Alessandro Russo,Out,Start,22,Italy,Goalkeeper,"350,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,Trento,"Serie C - Girone A, Italy",Europe,Italy,Third Tier,,0,90
Alessandro Silvestro,Out,Start,20,Italy,Right-Back,"75,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Fiorenzuola,"Serie C - Girone A, Italy",Europe,Italy,Third Tier,,0,91
Alessandro Tuia,Out,No,33,Italy,Centre-Back,"400,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Without Club,No league,-,-,No tier,,0,92
Alessio Cragno,Inside,End,29,Italy,Goalkeeper,"3,000,000",Monza,"Serie A, Italy",Top,Italy,First Tier,Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,93
Alessio Cragno,Inside,Start,29,Italy,Goalkeeper,"3,000,000",Monza,"Serie A, Italy",Top,Italy,First Tier,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,0,95
Alessio Cragno,Inside,No,29,Italy,Goalkeeper,"3,000,000",Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,Monza,"Serie A, Italy",Top,Italy,First Tier,,3600000,94
Alessio Furlanetto,Out,Start,21,Italy,Goalkeeper,"50,000",Lazio,"Serie A, Italy",Top,Italy,First Tier,Fermana,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,96
Alessio Piazza,Out,No,21,Italy,Left Winger,"10,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Santa Lucia FC,"Premier League, Malta",Europe,Malta,First Tier,,0,97
Alessio Rizza,Out,No,20,Italy,Left-Back,"150,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Cittadella,"Serie B, Italy",Europe,Italy,Second Tier,,?,98
Alessio Rossi,Out,Start,19,Italy,Central Midfield,"100,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Foggia,"Serie C - Girone C, Italy",Europe,Italy,Third Tier,,0,99
Álex Balboa,In,No,22,Equatorial Guinea,Central Midfield,"150,000",Depor. Alavés B,"Segunda Federación - Grupo II, Spain",Europe,Spain,Fourth Tier,Alavés,"LaLiga, Spain",Top,Spain,First Tier,,0,101
Álex Balboa,Out,Start,22,Equatorial Guinea,Central Midfield,"150,000",Alavés,"LaLiga, Spain",Top,Spain,First Tier,SD Huesca,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,100
Álex Collado,In,End,24,Spain,Right Winger,"3,000,000",Elche CF,"LaLiga2, Spain",Europe,Spain,Second Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,102
Álex Collado,Inside,No,24,Spain,Right Winger,"3,000,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,,0,104
Álex Collado,Out,Start,24,Spain,Right Winger,"3,000,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,Al-Okhdood,Saudi Pro League,Asia,Saudi Arabia,First Tier,,0,103
Alex Cordaz,Out,No,40,Italy,Goalkeeper,"200,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Without Club,No league,-,-,No tier,,0,105
Álex Domínguez,Inside,No,24,Spain,Goalkeeper,"300,000",UD Las Palmas,"LaLiga, Spain",Top,Spain,First Tier,Toulouse,"Ligue 1, France",Top,France,First Tier,,?,106
Alex Iwobi,Inside,No,27,Nigeria,Attacking Midfield,"28,000,000",Everton,"Premier League, England",Top,England,First Tier,Fulham,"Premier League, England",Top,England,First Tier,,25700000,107
Alex Kral,In,Start,25,Czech Republic,Defensive Midfield,"7,000,000",Spartak Moscow,"Premier Liga, Russia",Europe,Russia,First Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,0,108
Alex Mighten,Out,Start,21,England,Left Winger,"600,000",Nottm Forest,"Premier League, England",Top,England,First Tier,KV Kortrijk,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,,0,109
Alex Oxlade-Chamberlain,Out,No,29,England,Central Midfield,"6,000,000",Liverpool,"Premier League, England",Top,England,First Tier,Besiktas,"Süper Lig, Turkey",Asia,Turkey,First Tier,,0,110
Álex Petxa,In,End,26,Spain,Right-Back,"600,000",FC Andorra,"LaLiga2, Spain",Europe,Spain,Second Tier,Athletic,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,111
Álex Petxa,Out,No,26,Spain,Right-Back,"600,000",Athletic,"LaLiga, Spain",Top,Spain,First Tier,FC Andorra,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,112
Álex Sala,In,End,22,Spain,Central Midfield,"200,000",CE Sabadell,"Primera Federación - Grupo I, Spain",Europe,Spain,Third Tier,Girona,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,113
Álex Sala,Out,Start,22,Spain,Central Midfield,"200,000",Girona,"LaLiga, Spain",Top,Spain,First Tier,Córdoba CF,"Primera Federación - Grupo II, Spain",Europe,Spain,Third Tier,,0,114
Alex Scott,In,No,19,England,Central Midfield,"20,000,000",Bristol City,"Championship, England",Europe,France,Second Tier,Bournemouth,"Premier League, England",Top,England,First Tier,,23000000,115
Álex Sola,Inside,Start,24,Spain,Right-Back,"3,000,000",Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,Alavés,"LaLiga, Spain",Top,Spain,First Tier,,0,116
Alex Telles,Inside,End,30,Brazil,Left-Back,"7,500,000",Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,Man Utd,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,117
Alex Telles,Out,No,30,Brazil,Left-Back,"7,500,000",Man Utd,"Premier League, England",Top,England,First Tier,Al-Nassr,Saudi Pro League,Asia,Saudi Arabia,First Tier,,4600000,118
Álex Valle,In,No,19,Spain,Left-Back,"500,000",Barça Atlètic,"Primera Federación - Grupo I, Spain",Europe,Spain,Third Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,120
Álex Valle,Out,Start,19,Spain,Left-Back,"500,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Levante,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,119
Alexander Callens,Out,Start,31,Peru,Centre-Back,"1,800,000",Girona,"LaLiga, Spain",Top,Spain,First Tier,AEK Athens,"Super League 1, Greece",Europe,Greece,First Tier,,0,121
Alexander Djiku,Out,No,28,Ghana,Centre-Back,"8,000,000",R. Strasbourg,"Ligue 1, France",Top,France,First Tier,Fenerbahce,"Süper Lig, Turkey",Asia,Turkey,First Tier,,0,122
Alexander Hack,Out,No,29,Germany,Centre-Back,"2,500,000",1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,Al-Qadsiah,"Yelo League, Saudi Arabia",Asia,Saudi Arabia,Second Tier,,1500000,123
Alexander Nübel,Inside,End,26,Germany,Goalkeeper,"8,000,000",Monaco,"Ligue 1, France",Top,France,First Tier,Bayern Munich,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,124
Alexander Nübel,Inside,Start,26,Germany,Goalkeeper,"8,000,000",Bayern Munich,"Bundesliga, German",Top,Germany,First Tier,VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,,1000000,125
Alexander Satariano,Out,No,21,Malta,Centre-Forward,"250,000",Frosinone,"Serie A, Italy",Top,Italy,First Tier,Birkirkara FC,"Premier League, Malta",Europe,Malta,First Tier,,0,126
Alexander Schwolow,In,No,31,Germany,Goalkeeper,"900,000",Hertha BSC,"2. Bundesliga, German",Europe,Germany,Second Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,0,127
Alexander Sørloth,Inside,End,27,Norway,Centre-Forward,"12,000,000",Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,128
Alexander Sørloth,Inside,No,27,Norway,Centre-Forward,"12,000,000",RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,Villarreal,"LaLiga, Spain",Top,Spain,First Tier,,10000000,129
Alexis Claude-Maurice,Inside,End,25,France,Attacking Midfield,"4,500,000",Lens,"Ligue 1, France",Top,France,First Tier,OGC Nice,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,130
Alexis Flips,Out,No,23,France,Left Winger,"6,000,000",Stade Reims,"Ligue 1, France",Top,France,First Tier,RSC Anderlecht,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,,3500000,131
Alexis Mac Allister,Inside,No,24,Argentina,Central Midfield,"65,000,000",Brighton,"Premier League, England",Top,England,First Tier,Liverpool,"Premier League, England",Top,England,First Tier,,42000000,132
Alexis Saelemaekers,Inside,Start,24,Belgium,Right Winger,"10,000,000",AC Milan,"Serie A, Italy",Top,Italy,First Tier,Bologna,"Serie A, Italy",Top,Italy,First Tier,,500000,133
Alexis Sánchez,Inside,No,34,Chile,Centre-Forward,"4,000,000",Marseille,"Ligue 1, France",Top,France,First Tier,Inter,"Serie A, Italy",Top,Italy,First Tier,,0,134
Alfonso Espino,Inside,No,31,Uruguay,Left-Back,"3,500,000",Cádiz CF,"LaLiga, Spain",Top,Spain,First Tier,Rayo Vallecano,"LaLiga, Spain",Top,Spain,First Tier,,0,135
Alfred Gomis,In,End,29,Senegal,Goalkeeper,"2,200,000",Como,"Serie B, Italy",Europe,Italy,Second Tier,Stade Rennais,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,136
