Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Antonio Candreva,Out,End,36,Italy,Right Midfield,"1,500,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy",Europe,Italy,Second Tier,"Jun 30, 2023",0,268
Antonio Cioffi,Out,Start,20,Italy,Second Striker,"450,000",SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,Ancona,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,270
Antonio Mionic,Out,No,22,Croatia,Central Midfield,"125,000",AC Milan,"Serie A, Italy",Top,Italy,First Tier,SK Lisen,"Fortuna Narodni liga, Czech",Europe,Czech,Second Tier,,0,271
Antonio Pio Iervolino,Out,Start,20,Italy,Central Midfield,"100,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Vis Pesaro,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,272
Antonio Raimondo,Out,Start,19,Italy,Centre-Forward,"1,400,000",Bologna,"Serie A, Italy",Top,Italy,First Tier,Ternana,"Serie B, Italy",Europe,Italy,Second Tier,,0,273
Antonio Tikvic,In,No,19,Croatia,Centre-Back,"700,000",FC Bayern II,"Regionalliga Bayern, German",Europe,Germany,Fourth Tier,Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,,650000,274
Antonio Vergara,Out,Start,20,Italy,Attacking Midfield,"175,000",SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,Reggiana,"Serie B, Italy",Europe,Italy,Second Tier,,0,275
Antonis Aidonis,Out,No,22,Germany,Centre-Back,"350,000",VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,Aris Saloniki,"Super League 1, Greece",Europe,Greece,First Tier,,0,276
Antonis Makatounakis,In,End,19,Greece,Goalkeeper,"100,000",OFI Crete U19,"Super League U19, Greece",Europe,Greece,Youth League,Darmstadt 98,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,277
Antonis Makatounakis,Out,No,19,Greece,Goalkeeper,"100,000",Darmstadt 98,"Bundesliga, German",Top,Germany,First Tier,AO Giouchtas,"Super League 2, Greece",Europe,Greece,Second Tier,,0,278
Anwar El Ghazi,In,No,28,Netherlands,Right Winger,"5,000,000",Without club,No league,-,-,No tier,1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,,0,279
Arbër Zeneli,Out,No,28,Kosovo,Left Winger,"3,000,000",Stade Reims,"Ligue 1, France",Top,France,First Tier,Adana Demirspor,"Süper Lig, Turkey",Asia,Turkey,First Tier,,?,280
Arda Güler,In,No,18,Turkey,Attacking Midfield,"15,000,000",Fenerbahce,"Süper Lig, Turkey",Asia,Turkey,First Tier,Real Madrid,"LaLiga, Spain",Top,Spain,First Tier,,20000000,281
Aribim Pepple,In,End,21,Canada,Centre-Forward,"100,000",Bromley,"National League, England",Europe,England,Fifth Tier,Luton,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,282
Aribim Pepple,Out,Start,20,Canada,Centre-Forward,"100,000",Luton,"Premier League, England",Top,England,First Tier,Bromley,"National League, England",Europe,England,Fifth Tier,,0,283
Aridane Hernández,Inside,No,34,Spain,Centre-Back,"1,000,000",CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,Rayo Vallecano,"LaLiga, Spain",Top,Spain,First Tier,,0,284
Arijon Ibrahimovic,Inside,Start,17,Germany,Left Winger,"1,000,000",Bayern Munich,"Bundesliga, German",Top,Germany,First Tier,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,0,285
Aristide Wam,Out,No,21,Cameroon,Defensive Midfield,"50,000",Le Havre AC,"Ligue 1, France",Top,France,First Tier,Without Club,No league,-,-,No tier,,0,286
Arkadiusz Milik,Inside,End,29,Poland,Centre-Forward,"8,000,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Marseille,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,287
Arkadiusz Milik,Inside,No,29,Poland,Centre-Forward,"8,000,000",Marseille,"Ligue 1, France",Top,France,First Tier,Juventus,"Serie A, Italy",Top,Italy,First Tier,,6300000,288
Armando Anastasio,Out,Start,27,Italy,Left-Back,"125,000",Monza,"Serie A, Italy",Top,Italy,First Tier,Casertana,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,289
Armando Izzo,Inside,No,31,Italy,Centre-Back,"3,000,000",Torino,"Serie A, Italy",Top,Italy,First Tier,Monza,"Serie A, Italy",Top,Italy,First Tier,,3000000,290
Arnau Ortiz,In,End,21,Spain,Left Winger,"200,000",Real Murcia,"Primera Federación - Grupo II, Spain",Europe,Spain,Third Tier,Girona,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,291
Arnau Ortiz,Out,Start,21,Spain,Left Winger,"200,000",Girona,"LaLiga, Spain",Top,Spain,First Tier,Eldense,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,292
